project,bug_id,slug,recommended_status,status_final,buggy_checkout_ok,fixed_checkout_ok,checkout_ok,files_changed,source_files_changed,test_files_changed,human_test_count,human_test_names,human_test_files,source_file_paths,test_file_paths,clear_bug_context,has_test_context,usable_for_llm,recommended_reason,review_notes,patch_path,buggy_commit,fixed_commit,failing_tests
pandas,1,pandas_1,maybe,maybe,TRUE,TRUE,TRUE,1,1,0,0,,pandas/tests/dtypes/test_dtypes.py,pandas/core/dtypes/common.py,,TRUE,FALSE,FALSE,weak human test context,,C:\COSC540\github_mining_starter\data\patches\pandas_1.patch,"""3fd150c""","""e41ee47a90bb1d8a1fa28fcefcd45ed8ef5cb946""","""pandas/tests/dtypes/test_dtypes.py"""
pandas,10,pandas_10,keep,keep,TRUE,TRUE,TRUE,1,1,0,1,test_update,pandas/tests/series/methods/test_update.py,pandas/core/internals/blocks.py,,TRUE,TRUE,TRUE,ready for experiment,,C:\COSC540\github_mining_starter\data\patches\pandas_10.patch,"""de8ca78""","""e1ee2b0679e5999c993a787606d30e75faaba7a2""","""pandas/tests/series/methods/test_update.py"""
pandas,2,pandas_2,maybe,maybe,TRUE,TRUE,TRUE,1,1,0,0,,pandas/tests/indexing/test_scalar.py,pandas/core/indexing.py,,TRUE,FALSE,FALSE,weak human test context,,C:\COSC540\github_mining_starter\data\patches\pandas_2.patch,"""2740fb4""","""55e8891f6d33be14e0db73ac06513129503f995c""","""pandas/tests/indexing/test_scalar.py"""
pandas,3,pandas_3,keep,keep,TRUE,TRUE,TRUE,1,1,0,2,test_to_period; test_to_timestamp,pandas/tests/series/methods/test_to_period.py; pandas/tests/series/methods/test_to_timestamp.py,pandas/core/series.py,,TRUE,TRUE,TRUE,ready for experiment,,C:\COSC540\github_mining_starter\data\patches\pandas_3.patch,"""45fee32""","""d3a6a3a58e1a6eb68b8b8399ff252b8f4501950e""","""pandas/tests/series/methods/test_to_period.py;pandas/tests/series/methods/test_to_timestamp.py"""
pandas,4,pandas_4,maybe,maybe,TRUE,TRUE,TRUE,1,1,0,0,,pandas/tests/indexes/multi/test_join.py,pandas/core/indexes/base.py,,TRUE,FALSE,FALSE,weak human test context,,C:\COSC540\github_mining_starter\data\patches\pandas_4.patch,"""cca710b""","""2250ddfaff92abaff20a5bcd78315f5d4bd44981""","""pandas/tests/indexes/multi/test_join.py"""
pandas,5,pandas_5,keep,keep,TRUE,TRUE,TRUE,2,1,1,1,test_join_multi_return_indexers,pandas/tests/groupby/test_function.py; pandas/tests/indexes/multi/test_join.py,pandas/core/indexes/base.py,pandas/tests/indexes/multi/test_join.py,TRUE,TRUE,TRUE,ready for experiment,,C:\COSC540\github_mining_starter\data\patches\pandas_5.patch,"""4f4282f8a7c1033fc3efe9f4eab5368a70ae5041""","""0babe10f1f3f19bb6183b6fb4cc958583c6860c8""","""pandas/tests/groupby/test_function.py"""
pandas,6,pandas_6,keep,keep,TRUE,TRUE,TRUE,1,1,0,1,test_size,pandas/tests/groupby/test_size.py,pandas/core/groupby/grouper.py,,TRUE,TRUE,TRUE,ready for experiment,,C:\COSC540\github_mining_starter\data\patches\pandas_6.patch,"""21a10d1""","""8cd8ed3657e52ad9f67e17b7f5c20f7340ab6a2c""","""pandas/tests/groupby/test_size.py"""
pandas,7,pandas_7,maybe,maybe,TRUE,TRUE,TRUE,1,1,0,0,,pandas/tests/frame/indexing/test_indexing.py,pandas/core/indexes/base.py,,TRUE,FALSE,FALSE,weak human test context,,C:\COSC540\github_mining_starter\data\patches\pandas_7.patch,"""27f365d""","""64336ff8414f8977ff94adb9a5bc000a3a4ef454""","""pandas/tests/frame/indexing/test_indexing.py"""
pandas,8,pandas_8,keep,keep,TRUE,TRUE,TRUE,1,1,0,1,test_replace,pandas/tests/frame/methods/test_replace.py,pandas/core/internals/blocks.py,,TRUE,TRUE,TRUE,ready for experiment,,C:\COSC540\github_mining_starter\data\patches\pandas_8.patch,"""ddbeca6""","""d09f20e29bdfa82f5efc071986e2633001d552f6""","""pandas/tests/frame/methods/test_replace.py"""
pandas,9,pandas_9,maybe,maybe,TRUE,TRUE,TRUE,2,2,0,0,,pandas/tests/indexes/categorical/test_indexing.py,pandas/core/arrays/categorical.py; pandas/core/indexes/category.py,,TRUE,FALSE,FALSE,weak human test context,,C:\COSC540\github_mining_starter\data\patches\pandas_9.patch,"""c557ab5""","""ebb727e5cd8865a7f5d6cfb4b22d3278b6bf5e6b""","""pandas/tests/indexes/categorical/test_indexing.py"""
youtube-dl,1,youtube-dl_1,maybe,keep,TRUE,TRUE,TRUE,1,1,0,0,,test/test_utils.py,youtube_dl/utils.py,,TRUE,FALSE,FALSE,weak human test context,,C:\COSC540\github_mining_starter\data\patches\youtube-dl_1.patch,"""99036a1298089068dcf80c0985bfcc3f8c24f281""","""1cc47c667419e0eadc0a6989256ab7b276852adf""","""test/test_utils.py"""
youtube-dl,10,youtube-dl_10,maybe,maybe,TRUE,TRUE,TRUE,1,1,0,0,,test/test_utils.py,youtube_dl/utils.py,,TRUE,FALSE,FALSE,weak human test context,,C:\COSC540\github_mining_starter\data\patches\youtube-dl_10.patch,"""85d586617750d38d742a24f141b099f6b898d269""","""d305dd73a3d6927f0a2c63d08662a183fa173833""","""test/test_utils.py"""
youtube-dl,2,youtube-dl_2,maybe,keep,TRUE,TRUE,TRUE,1,1,0,0,,test/test_InfoExtractor.py,youtube_dl/extractor/common.py,,TRUE,FALSE,FALSE,weak human test context,,C:\COSC540\github_mining_starter\data\patches\youtube-dl_2.patch,"""84f085d4bdb66ee025fb337bcd571eab7469da97""","""9d6ac71c27b1dfb662c795ef598dbfd0286682da""","""test/test_InfoExtractor.py"""
youtube-dl,3,youtube-dl_3,maybe,maybe,TRUE,TRUE,TRUE,1,1,0,0,,test/test_utils.py,youtube_dl/utils.py,,TRUE,FALSE,FALSE,weak human test context,,C:\COSC540\github_mining_starter\data\patches\youtube-dl_3.patch,"""f5469da9e6e259c1690c7ef54f1da1c19f65036f""","""95f3f7c20a05e7ac490e768b8470b20538ef8581""","""test/test_utils.py"""
youtube-dl,4,youtube-dl_4,maybe,keep,TRUE,TRUE,TRUE,1,1,0,0,,test/test_jsinterp.py,youtube_dl/jsinterp.py,,TRUE,FALSE,FALSE,weak human test context,,C:\COSC540\github_mining_starter\data\patches\youtube-dl_4.patch,"""bc40b3a5ba44006c23daf7fe0ed872af5e33bdc5""","""189935f15960300d316e8b07108b076ac6c2186a""","""test/test_jsinterp.py"""
youtube-dl,5,youtube-dl_5,maybe,maybe,TRUE,TRUE,TRUE,1,1,0,0,,test/test_utils.py,youtube_dl/utils.py,,TRUE,FALSE,FALSE,weak human test context,,C:\COSC540\github_mining_starter\data\patches\youtube-dl_5.patch,"""b02b960c6bba834d9e7199ac53430c7933079dc8""","""7dc2a74e0ac9cfa74cc9de6f586ffd5cc8bac0d9""","""test/test_utils.py"""
youtube-dl,6,youtube-dl_6,maybe,maybe,TRUE,TRUE,TRUE,1,1,0,0,,test/test_utils.py,youtube_dl/utils.py,,TRUE,FALSE,FALSE,weak human test context,,C:\COSC540\github_mining_starter\data\patches\youtube-dl_6.patch,"""4f29fa99069760dc47ef9ca5dbf607a567d2982f""","""d631d5f9f27f93767226192e4288990413fa9dbd""","""test/test_utils.py"""
youtube-dl,7,youtube-dl_7,maybe,keep,TRUE,TRUE,TRUE,1,1,0,0,,test/test_utils.py,youtube_dl/utils.py,,TRUE,FALSE,FALSE,weak human test context,,C:\COSC540\github_mining_starter\data\patches\youtube-dl_7.patch,"""63a64948342ebfe46db8c258765e698a04a61904""","""d01949dc89feb2441f251e42e8a6bfa4711b9715""","""test/test_utils.py"""
youtube-dl,8,youtube-dl_8,maybe,keep,TRUE,TRUE,TRUE,1,1,0,0,,test/test_YoutubeDL.py,youtube_dl/YoutubeDL.py,,TRUE,FALSE,FALSE,weak human test context,,C:\COSC540\github_mining_starter\data\patches\youtube-dl_8.patch,"""cf2ac6df6896dac4d23918867bb86fac1e1088d9""","""f5f4a27a964b41646303921104f4d6d6fd2098e4""","""test/test_YoutubeDL.py"""
youtube-dl,9,youtube-dl_9,maybe,keep,TRUE,TRUE,TRUE,1,1,0,0,,test/test_YoutubeDL.py,youtube_dl/YoutubeDL.py,,TRUE,FALSE,FALSE,weak human test context,,C:\COSC540\github_mining_starter\data\patches\youtube-dl_9.patch,"""0130afb76e5cb6f470f39f127c8d09eea3e82d0d""","""cf2ac6df6896dac4d23918867bb86fac1e1088d9""","""test/test_YoutubeDL.py"""
